,YEAR,INST_ID,INST_NAME,INST_STATE,TOC_CODE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND,NASF_NR,RR_NR,NASF_CLIN_TRIAL
72,2007,1079,University of South Florida,FL,1,285941,7393.0,42299,6625.0,81629.0,338301.0,1027.0,118364.0,55079.0,22621,49463.0,0.0,338301,0,0,0,0,4349465,0,0,0,0,0,0,4349465,3549465,400000,400000,4349465,429732,0,0,429732,,,
73,2007,1080,Albany State University,GA,1,1455,0.0,5123,1521.0,0.0,0.0,859.0,0.0,2570.0,851,1100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
74,2007,1081,Clark Atlanta University,GA,2,11155,11032.0,56937,28043.0,0.0,0.0,5650.0,4025.0,12825.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
75,2007,1082,Emory University,GA,2,345989,0.0,442800,0.0,14100.0,894000.0,29300.0,0.0,112500.0,120500,49200.0,0.0,1014300,0,0,0,0,7055000,0,0,0,0,0,0,7055000,0,0,7055000,7055000,0,0,0,0,,,
76,2007,1083,Fort Valley State University,GA,1,2570,96339.0,7827,3561.0,0.0,0.0,0.0,4807.0,575.0,767,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
77,2007,1084,Georgia Southern University,GA,1,1812,176.0,17175,0.0,0.0,626.0,410.0,1479.0,10318.0,2034,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
78,2007,1085,Georgia State University,GA,1,52690,0.0,55322,5640.0,0.0,7150.0,3875.0,4597.0,54569.0,19245,48134.0,0.0,0,0,2195000,0,0,668750,0,700000,565000,668750,668750,0,0,0,5466250,0,5466250,0,731291,639880,1371171,,,
79,2007,1086,Medical College of Georgia,GA,1,61174,0.0,179058,0.0,0.0,28691.0,0.0,0.0,0.0,0,0.0,0.0,173720,0,800081,0,0,0,0,0,0,0,0,0,800081,0,279666,520415,800081,0,0,0,0,,,
80,2007,1087,Morehouse College,GA,2,6008,1500.0,9895,2062.0,0.0,507.0,640.0,0.0,8772.0,4626,500.0,0.0,0,0,0,0,0,0,746050,0,746050,763984,0,0,0,2000000,0,256084,2256084,0,0,0,0,,,
81,2007,1089,Savannah State University,GA,1,2342,4232.0,16331,4951.0,2802.0,0.0,0.0,4178.0,10494.0,0,0.0,0.0,0,0,351262,0,0,0,0,0,794837,0,0,0,0,0,1146099,0,1146099,0,0,0,0,,,
