,YEAR,INST_ID,INST_NAME,INST_STATE,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_STA,NC_INST,NC_TFUND,EXP_TOT
11,2017,1013,University of Arkansas at Pine Bluff,AR,24000,3200,1200,200,0,50,5000,0,5000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8873
12,2017,1014,Arkansas State University,AR,7087,51924,949,3278,2332,532,600,1060,19176,457,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8158
13,2017,1015,University of Central Arkansas,AR,0,21108,3257,0,8623,1922,1000,1000,39398,3287,2033,1577,0,0,0,0,0,0,0,0,0,0,260000,0,0,0,0,0,0,260000,260000,0,706055,706055,2132
14,2017,1016,University of Arkansas at Little Rock,AR,0,14241,14298,55309,0,0,0,2957,9625,4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6971
15,2017,1017,"University of Arkansas, Fayetteville",AR,390170,74174,4803,199428,8751,1625,1188,24387,87530,8803,10528,0,3451,0,250000,2670000,0,0,0,0,0,0,0,0,0,0,0,0,0,2920000,2920000,0,6948000,6948000,132648
16,2017,1018,University of Arkansas for Medical Sciences,AR,0,122912,0,0,98628,0,0,0,0,0,0,0,0,155445,0,0,0,0,2879178,0,0,0,0,0,0,0,0,0,0,2879178,2879178,0,0,0,125378
17,2017,1019,California Institute of Technology,CA,0,190647,9687,186573,0,2397,0,72959,285692,0,10451,0,0,0,0,7444500,0,14801000,0,0,0,750000,19618500,0,0,0,0,0,0,42614000,42614000,0,0,0,356204
18,2017,1020,California State University-Fullerton,CA,0,27129,17247,44298,8347,5951,0,3294,22355,7881,11189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5029
19,2017,1021,California State University-Long Beach,CA,0,44143,2844,57865,10389,2002,0,3098,22025,14349,5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14175
20,2017,1022,California State University-Los Angeles,CA,4208,11643,870,13528,5231,870,0,2925,12838,1874,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860
21,2017,1023,California State University-Dominguez Hills,CA,0,4124,624,0,281,0,0,612,3529,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12798468,0,12798468,1460
