,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
112,2019,1129,Western Kentucky University,KY,8003,4867,15166,12231,26924,4440,7021,0,9999,38849,4060,0,0,0,0,0,0,0,0,0,0,0,0,4500000,1500000,0,0,0,0,6000000,0,6000000,0,0,0,0
113,2019,1132,Louisiana Tech University,LA,18089,12620,16129,11377,127020,11372,3601,1400,0,35879,3865,9174,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2019,1133,"Louisiana State University, Baton Rouge",LA,278075,502828,125607,4511,214575,102811,4042,38984,161796,153907,11939,22025,0,31724,0,0,0,0,0,3071761,0,482942,0,387094,0,0,0,0,296700,0,3645097,3941797,0,0,0,0
115,2019,1134,Louisiana State University Health Sciences Center - New Orleans,LA,38989,0,160576,0,0,59722,0,0,0,0,0,0,0,0,174133,0,259000,0,0,444000,0,0,0,0,0,0,0,703000,0,0,703000,703000,42340000,0,0,42340000
116,2019,1135,University of New Orleans,LA,12148,0,22017,3288,10094,0,620,0,13728,46679,2817,12141,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,300000,0,300000,0,0,0,0
117,2019,1136,University of Louisiana at Monroe,LA,2123,0,22329,345,0,37948,0,0,0,540,0,8900,0,2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2019,1137,"Southern University and A&M College, Baton Rouge",LA,3532,18000,20000,22794,65000,2476,6100,52000,0,26000,2082,15322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2019,1138,Tulane University,LA,179813,0,142714,3709,45043,318909,15506,5992,38325,65471,22187,68414,0,454975,429177,0,0,0,0,2691493,0,0,284751,253714,0,0,2954900,2691493,0,0,6184858,6184858,0,0,5987970,5987970
120,2019,1139,University of Louisiana at Lafayette,LA,102812,56962,537872,60436,49033,18304,3756,48492,5910,11278,1724,13715,0,15544,0,499581,1673746,0,865325,0,0,0,0,363856,0,447802,0,0,0,0,3850310,3850310,0,0,0,0
121,2019,1140,Xavier University of Louisiana,LA,11586,0,11056,1866,0,35578,500,0,0,13076,1000,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2019,1142,Bowdoin College,ME,2506,0,14536,2228,0,0,865,1109,11175,12793,3503,5174,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194600,4194600
123,2019,1144,University of Maine,ME,105810,301973,60127,17270,214017,649,134,31197,26186,15099,13222,6037,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2019,1146,The Johns Hopkins University and Applied Physics Laboratory,MD,2656152,0,639307,201863,869051,636159,14230,0,19638,376704,51050,37089,19421,133153,1158114,0,10438062,0,0,0,0,0,0,0,0,0,0,10438062,0,0,10438062,10438062,0,0,225400000,225400000
125,2019,1148,Morgan State University,MD,12727,1765,48582,3356,59100,4215,2977,2650,22000,35455,6651,42675,0,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2019,1152,University of Maryland Baltimore County,MD,70358,0,48778,35722,67922,13989,6657,5903,15063,61320,21138,24117,0,47296,0,0,0,300000,0,0,0,0,666100,0,0,0,0,0,0,0,966100,966100,0,0,0,0
