,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
204,2007,1232,Ithaca College,NY,1657,0,1296,0,0,3100,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2007,1233,The New School,NY,6950,0,0,0,0,0,0,0,0,4000,9930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2007,1234,New York Medical College,NY,34397,0,136843,0,0,0,0,0,0,0,0,0,136843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2007,1235,New York University,NY,284164,0,247804,11652,0,260892,11651,0,25211,11052,28962,5481,437894,0,94858000,0,0,3400000,0,0,18820574,0,0,3480190,0,621618,50150000,69787146,120558764,0,50000000,58502688,108502688
208,2007,1236,Polytechnic University,NY,14479,0,1671,3859,13623,0,0,0,24744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2007,1237,Rensselaer Polytechnic Institute,NY,70576,0,35024,15249,171777,0,1380,10121,26346,3864,215,3727,0,0,0,6500000,0,0,0,0,402000,1000000,0,0,0,0,6500000,1402000,7902000,0,0,0,0
210,2007,1238,Rochester Institute of Technology,NY,22107,0,4389,3163,48518,250,10,0,33276,256,210,9177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2007,1239,Rockefeller University,NY,215417,0,313789,0,0,22245,0,0,9077,0,0,0,0,0,9209300,0,0,0,0,0,0,0,0,0,0,0,0,9209300,9209300,0,0,0,0
212,2007,1240,St. John's University,NY,1538,0,24755,0,0,60718,0,0,16432,902,204,0,0,0,925000,0,0,3725000,0,0,1400000,0,0,0,0,0,0,6050000,6050000,0,0,0,0
213,2007,1241,State University of New York at Albany,NY,274354,0,61715,4471,158153,11947,305,35920,33232,13117,76403,91357,0,0,0,0,10000000,0,0,0,552000,0,0,5000000,0,0,15250000,302000,15552000,0,17200000,8700000,25900000
214,2007,1242,State University of New York at Binghamton,NY,29635,0,21345,7259,40256,2405,219,7227,20905,23125,8605,4423,0,0,0,424100,4156400,0,0,0,0,0,0,0,0,0,4425800,154700,4580500,0,0,0,0
215,2007,1243,State University of New York Downstate Medical Center,NY,31064,0,172512,0,0,118900,0,0,0,0,0,0,291412,0,0,0,0,275000,0,0,0,0,0,0,275000,0,275000,0,275000,0,0,0,0
216,2007,1244,State University of New York Upstate Medical University,NY,37181,0,140878,0,19195,40577,0,0,0,1923,0,0,202573,0,29902099,0,0,0,0,0,0,0,0,0,29902099,0,29902099,0,29902099,0,0,0,0
217,2007,1246,State University of New York College at Buffalo,NY,1699,0,1608,0,0,0,0,365,1374,1225,0,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2007,1247,State University of New York College at Oswego,NY,1024,0,8299,789,0,0,0,5617,9461,5174,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2007,1248,State University of New York College at Plattsburgh,NY,1985,0,18052,4622,0,0,3359,23034,14729,9000,21668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2007,1249,State University of New York College of Environmental Science and Forestry,NY,12643,27058,71594,0,58270,0,0,6743,34622,0,23041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2007,1250,Albany Medical College,NY,16227,0,112460,0,0,14188,0,0,0,0,0,0,126648,0,650000,0,0,0,0,0,0,0,0,0,650000,0,0,650000,650000,0,0,0,0
222,2007,1251,Union College,NY,1992,0,16409,3920,20755,0,4147,10010,31017,8624,0,16186,0,0,0,0,800000,0,0,0,0,0,0,400000,0,0,400000,800000,1200000,0,0,0,0
223,2007,1252,University of Rochester,NY,366658,0,336799,8205,56000,284407,2929,8060,226206,64029,4934,0,551933,0,8259575,0,494000,4014519,0,423000,7206000,557000,0,0,12274049,2596660,0,18357434,20954094,0,0,36081482,36081482
224,2007,1253,Yeshiva University,NY,189416,0,234000,1250,0,155622,0,0,7300,3050,300,0,387451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2870000,2870000
225,2007,1254,North Carolina Agricultural and Technical State University,NC,23698,43128,5641,480,75827,0,0,0,38337,960,1019,0,0,883933,4102374,332985,4102374,0,0,0,0,0,4242989,0,0,0,13664655,0,13664655,0,0,0,0
226,2007,1255,University of North Carolina at Asheville,NC,3192,1334,3522,0,0,0,0,140,3111,452,0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398750,6050000,2351250,8800000
227,2007,1257,Duke University,NC,657080,0,277949,7897,69428,640290,3412,38164,114654,10716,15739,0,848180,0,15340000,443900,254550,1164000,0,0,825800,0,0,0,1164000,0,0,18028250,18028250,0,0,17400000,17400000
228,2007,1258,East Carolina University,NC,14061,0,101256,2821,915,124440,3134,15610,28912,5797,6088,11967,165815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2007,1261,North Carolina Central University,NC,6597,1000,24000,1500,0,100,100,800,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10854000,10854000
230,2007,1262,Shaw University,NC,1815,0,2700,2000,2400,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2007,1263,North Carolina State University,NC,330936,1258102,362255,35325,597009,163615,13899,39826,95080,11844,8214,7611,0,9217174,668310,0,0,0,0,0,10859026,0,4937153,0,0,0,25681663,0,25681663,0,39713018,0,39713018
232,2007,1264,University of North Carolina at Chapel Hill,NC,443790,0,318949,15334,0,547340,5259,77521,114834,18546,37262,0,607776,0,8535000,0,0,42251421,0,0,0,0,0,0,23363488,0,27488857,23297564,50786421,0,106291875,49610657,155902532
